1580 "Range 4"
2366 "Range 4"
3175 "Range 4"
1088 "Range 4"
32460 "Range 5"
44022 "Range 4"
96488 "Range 5"
1238 "Range 5"
1342 "Range 3"
1591 "Range 3"
1645 "Range 4"
4519 "Range 4"
2142 "Range 3"
471 "Range 4"
3997 "Range 2"
833 "Range 2"
3918 "Range 4"
7982 "Range 4"
1959 "Range 4"
68135 "Range 4"
5300 "Range 4"
2659 "Range 2"
5803 "Range 3"
76143 "Range 5"
140541 "Range 4"
2122 "Range 3"
6620 "Range 4"
54190 "Range 5"
8638 "Range 4"
4900 "Range 3"
1829 "Range 4"
160563 "Range 4"
36525 "Range 3"
6658 "Range 4"
148 "Range 5"
496 "Range 5"
175197 "Range 4"
3794 "Range 3"
2866 "Range 4"
91784 "Range 5"
6654 "Range 4"
166558 "Range 3"
5156 "Range 3"
7993 "Range 3"
4818 "Range 2"
7340 "Range 3"
141422 "Range 3"
150604 "Range 3"
6466 "Range 4"
6336 "Range 3"
6357 "Range 3"
7833 "Range 4"
139747 "Range 4"
179749 "Range 2"
31367 "Range 2"
144522 "Range 2"
153236 "Range 3"
1025 "Range 4"
1127 "Range 4"
2387 "Range 4"
2580 "Range 4"
1084 "Range 5"
243 "Range 3"
540 "Range 3"
1721 "Range 4"
858 "Range 5"
48780 "Range 5"
166635 "Range 4"
3698 "Range 4"
4161 "Range 4"
6773 "Range 4"
43921 "Range 4"
56941 "Range 4"
737 "Range 3"
4929 "Range 3"
8928 "Range 4"
69481 "Range 5"
897 "Range 4"
4158 "Range 3"
1395 "Range 3"
3179 "Range 4"
91690 "Range 4"
1483 "Range 4"
2563 "Range 5"
4219 "Range 4"
1460 "Range 4"
92008 "Range 3"
101362 "Range 3"
185435 "Range 3"
74452 "Range 3"
71468 "Range 4"
51927 "Range 4"
4190 "Range 4"
1507 "Range 4"
3475 "Range 5"
100068 "Range 4"
50954 "Range 1"
1990 "Range 4"
45183 "Range 3"
5614 "Range 5"
1270 "Range 5"
80906 "Range 5"
31 "Range 4"
516 "Range 4"
6266 "Range 4"
61250 "Range 3"
2572 "Range 4"
3000 "Range 4"
82459 "Range 4"
74948 "Range 4"
1322 "Range 2"
1339 "Range 4"
2393 "Range 4"
3213 "Range 5"
3704 "Range 4"
4489 "Range 4"
1303 "Range 5"
55363 "Range 5"
7387 "Range 4"
27266 "Range 5"
67618 "Range 5"
99130 "Range 4"
150554 "Range 5"
6482 "Range 2"
135137 "Range 3"
168144 "Range 4"
2996 "Range 4"
3761 "Range 4"
7879 "Range 4"
6559 "Range 3"
1699 "Range 4"
55272 "Range 4"
176751 "Range 5"
87028 "Range 2"
31435 "Range 5"
5984 "Range 4"
5071 "Range 4"
5345 "Range 3"
50792 "Range 3"
71732 "Range 3"
1650 "Range 4"
59667 "Range 4"
40578 "Range 3"
56022 "Range 2"
172253 "Range 3"
1352 "Range 3"
1265 "Range 4"
4239 "Range 4"
251 "Range 3"
33615 "Range 4"
150548 "Range 4"
3986 "Range 3"
1884 "Range 4"
808 "Range 4"
2231 "Range 4"
71106 "Range 4"
580 "Range 3"
2443 "Range 4"
1975 "Range 3"
3098 "Range 4"
5308 "Range 3"
51086 "Range 3"
33437 "Range 4"
76293 "Range 4"
3089 "Range 5"
142444 "Range 5"
157775 "Range 5"
85 "Range 4"
91653 "Range 4"
75341 "Range 4"
101088 "Range 4"
4042 "Range 4"
2748 "Range 2"
8911 "Range 5"
2025 "Range 4"
5155 "Range 5"
123553 "Range 1"
2525 "Range 2"
26375 "Range 4"
83613 "Range 3"
26736 "Range 5"
2259 "Range 4"
50610 "Range 4"
32554 "Range 4"
5074 "Range 4"
4078 "Range 4"
2488 "Range 3"
6598 "Range 4"
6597 "Range 3"
8743 "Range 3"
32291 "Range 4"
111680 "Range 2"
451 "Range 4"
8650 "Range 4"
113829 "Range 5"
27255 "Range 4"
137 "Range 3"
27480 "Range 5"
34450 "Range 5"
2096 "Range 4"
65 "Range 3"
458 "Range 3"
6934 "Range 4"
8665 "Range 4"
32296 "Range 3"
1223 "Range 5"
4383 "Range 4"
104241 "Range 4"
879 "Range 3"
2249 "Range 4"
2622 "Range 4"
103883 "Range 4"
108932 "Range 4"
5682 "Range 4"
76751 "Range 3"
6301 "Range 4"
3425 "Range 4"
8501 "Range 4"
27803 "Range 4"
173963 "Range 5"
101142 "Range 4"
159441 "Range 4"
168326 "Range 4"
2924 "Range 5"
7324 "Range 4"
2392 "Range 2"
7333 "Range 5"
46974 "Range 3"
4307 "Range 5"
3834 "Range 3"
81132 "Range 4"
36533 "Range 3"
52712 "Range 3"
4957 "Range 4"
3566 "Range 3"
146210 "Range 3"
4000 "Range 3"
5433 "Range 3"
65037 "Range 4"
4294 "Range 4"
2656 "Range 3"
27683 "Range 2"
162598 "Range 4"
1977 "Range 3"
8577 "Range 4"
27708 "Range 4"
152711 "Range 5"
6962 "Range 4"
26965 "Range 4"
5513 "Range 5"
2655 "Range 2"
184997 "Range 4"
110281 "Range 4"
130050 "Range 3"
804 "Range 4"
588 "Range 4"
898 "Range 5"
799 "Range 4"
48997 "Range 4"
70293 "Range 3"
2027 "Range 2"
5995 "Range 5"
112183 "Range 4"
2802 "Range 4"
5110 "Range 4"
481 "Range 4"
3105 "Range 4"
6552 "Range 4"
63033 "Range 4"
26729 "Range 4"
4477 "Range 2"
92427 "Range 1"
67734 "Range 4"
255 "Range 3"
6832 "Range 4"
53 "Range 5"
171811 "Range 4"
4092 "Range 3"
48872 "Range 5"
2247 "Range 3"
3028 "Range 3"
5847 "Range 4"
5527 "Range 4"
6890 "Range 4"
7810 "Range 4"
3042 "Range 3"
27822 "Range 3"
30745 "Range 5"
2559 "Range 3"
71867 "Range 3"
110127 "Range 3"
107997 "Range 3"
116887 "Range 3"
7987 "Range 3"
3790 "Range 4"
71902 "Range 4"
72694 "Range 2"
103755 "Range 3"
970 "Range 4"
7584 "Range 4"
70932 "Range 2"
6722 "Range 3"
159403 "Range 3"
25923 "Range 4"
2156 "Range 4"
4357 "Range 5"
7109 "Range 3"
31309 "Range 4"
133217 "Range 4"
134158 "Range 2"
296 "Range 5"
2542 "Range 5"
3062 "Range 4"
1466 "Range 4"
2874 "Range 4"
472 "Range 3"
8950 "Range 4"
1718 "Range 4"
1888 "Range 3"
95738 "Range 3"
4396 "Range 3"
7206 "Range 4"
4291 "Range 3"
26350 "Range 5"
3306 "Range 5"
57183 "Range 5"
121715 "Range 4"
128097 "Range 4"
173255 "Range 3"
8640 "Range 3"
4799 "Range 4"
7222 "Range 4"
2035 "Range 4"
5670 "Range 3"
54372 "Range 4"
4612 "Range 5"
4583 "Range 4"
5178 "Range 4"
46347 "Range 4"
97742 "Range 2"
165139 "Range 2"
6376 "Range 4"
8450 "Range 3"
8482 "Range 2"
8534 "Range 4"
3691 "Range 3"
6557 "Range 1"
26913 "Range 2"
33966 "Range 2"
119828 "Range 3"
5929 "Range 3"
3703 "Range 5"
41285 "Range 4"
68954 "Range 5"
72407 "Range 3"
6378 "Range 4"
62434 "Range 4"
106487 "Range 4"
513 "Range 4"
1016 "Range 3"
2396 "Range 4"
78 "Range 4"
322 "Range 4"
1005 "Range 3"
89753 "Range 4"
48342 "Range 4"
86377 "Range 4"
5867 "Range 5"
918 "Range 5"
25887 "Range 5"
4624 "Range 3"
6678 "Range 4"
95720 "Range 3"
4167 "Range 3"
178111 "Range 2"
31364 "Range 5"
5949 "Range 5"
71462 "Range 5"
9018 "Range 5"
37720 "Range 3"
53127 "Range 3"
4531 "Range 3"
33132 "Range 2"
4697 "Range 3"
26713 "Range 5"
32906 "Range 4"
117364 "Range 4"
2848 "Range 4"
6911 "Range 4"
3577 "Range 2"
26796 "Range 4"
362 "Range 4"
673 "Range 3"
58559 "Range 5"
7169 "Range 4"
3087 "Range 4"
187593 "Range 4"
56921 "Range 4"
613 "Range 4"
188301 "Range 4"
6939 "Range 4"
321 "Range 4"
5529 "Range 4"
67888 "Range 5"
104875 "Range 4"
2625 "Range 3"
4126 "Range 4"
147300 "Range 5"
163134 "Range 4"
175577 "Range 2"
4259 "Range 4"
5222 "Range 4"
2971 "Range 5"
5427 "Range 3"
8042 "Range 4"
62299 "Range 4"
54256 "Range 4"
89047 "Range 4"
1533 "Range 5"
5543 "Range 3"
84273 "Range 5"
26528 "Range 5"
80241 "Range 4"
4725 "Range 4"
6145 "Range 2"
98122 "Range 3"
150993 "Range 4"
633 "Range 5"
43419 "Range 1"
961 "Range 4"
6237 "Range 4"
7131 "Range 3"
99721 "Range 2"
4061 "Range 4"
593 "Range 5"
2797 "Range 4"
3441 "Range 4"
1199 "Range 5"
597 "Range 4"
1653 "Range 4"
1212 "Range 5"
148626 "Range 4"
2513 "Range 3"
6157 "Range 3"
73106 "Range 3"
60647 "Range 3"
64983 "Range 4"
1468 "Range 3"
4474 "Range 3"
140715 "Range 5"
4713 "Range 4"
7132 "Range 5"
6188 "Range 4"
26778 "Range 3"
50685 "Range 4"
57951 "Range 3"
164707 "Range 4"
1417 "Range 4"
105593 "Range 5"
111375 "Range 3"
66297 "Range 4"
5298 "Range 4"
106873 "Range 3"
33138 "Range 5"
101531 "Range 2"
4782 "Range 3"
34330 "Range 3"
53974 "Range 3"
124853 "Range 4"
2835 "Range 1"
6689 "Range 4"
99574 "Range 3"
165343 "Range 2"
976 "Range 3"
4796 "Range 4"
4798 "Range 4"
5375 "Range 3"
6732 "Range 4"
7092 "Range 4"
35015 "Range 4"
97665 "Range 3"
876 "Range 5"
62718 "Range 3"
27373 "Range 5"
120827 "Range 3"
121035 "Range 2"
72424 "Range 1"
77893 "Range 4"
5962 "Range 1"
143385 "Range 4"
54272 "Range 4"
2294 "Range 4"
2606 "Range 3"
126548 "Range 4"
7481 "Range 4"
1863 "Range 3"
3844 "Range 4"
2739 "Range 4"
78105 "Range 3"
4773 "Range 3"
6754 "Range 4"
54734 "Range 3"
64622 "Range 4"
950 "Range 4"
112497 "Range 2"
6213 "Range 3"
4452 "Range 3"
155 "Range 3"
3436 "Range 4"
56274 "Range 3"
3431 "Range 2"
3843 "Range 3"
40946 "Range 2"
77667 "Range 3"
90430 "Range 4"
99750 "Range 4"
51091 "Range 4"
7218 "Range 5"
114847 "Range 3"
122490 "Range 2"
5771 "Range 1"
8458 "Range 4"
31694 "Range 4"
3661 "Range 3"
1331 "Range 2"
8755 "Range 3"
26539 "Range 3"
87960 "Range 3"
95771 "Range 4"
169958 "Range 1"
108 "Range 4"
47774 "Range 3"
7202 "Range 3"
133115 "Range 4"
1198 "Range 5"
368 "Range 4"
34 "Range 4"
8961 "Range 4"
193 "Range 3"
94864 "Range 4"
1924 "Range 4"
2888 "Range 3"
119964 "Range 2"
138186 "Range 1"
8464 "Range 4"
7587 "Range 4"
211 "Range 4"
62376 "Range 3"
1537 "Range 4"
4132 "Range 3"
4321 "Range 4"
26258 "Range 4"
5417 "Range 4"
6124 "Range 3"
7647 "Range 4"
52767 "Range 4"
72167 "Range 4"
3152 "Range 5"
44777 "Range 5"
53578 "Range 5"
102378 "Range 3"
118894 "Range 5"
136511 "Range 2"
1344 "Range 4"
6005 "Range 3"
103210 "Range 2"
117895 "Range 2"
193573 "Range 4"
6639 "Range 4"
7103 "Range 4"
160954 "Range 3"
8011 "Range 4"
3235 "Range 4"
4263 "Range 4"
89386 "Range 1"
4517 "Range 2"
1675 "Range 4"
67361 "Range 2"
103221 "Range 3"
104129 "Range 4"
133782 "Range 2"
1068 "Range 4"
79798 "Range 4"
111800 "Range 3"
6204 "Range 3"
31921 "Range 3"
33126 "Range 3"
7562 "Range 3"
101 "Range 4"
1500 "Range 4"
126 "Range 2"
1183 "Range 4"
160980 "Range 4"
1378 "Range 4"
2003 "Range 4"
2261 "Range 3"
4865 "Range 4"
110130 "Range 5"
3198 "Range 4"
2342 "Range 4"
7173 "Range 4"
2771 "Range 4"
4153 "Range 3"
63312 "Range 2"
4992 "Range 4"
58107 "Range 4"
55577 "Range 4"
7118 "Range 4"
86014 "Range 4"
38159 "Range 5"
47044 "Range 3"
39427 "Range 3"
62836 "Range 4"
4917 "Range 4"
39400 "Range 3"
2907 "Range 4"
4683 "Range 4"
3043 "Range 1"
4181 "Range 2"
70687 "Range 3"
25963 "Range 4"
26700 "Range 3"
160644 "Range 5"
162590 "Range 1"
148881 "Range 5"
5597 "Range 2"
26630 "Range 3"
75416 "Range 2"
65359 "Range 3"
50354 "Range 3"
80094 "Range 4"
93193 "Range 3"
1226 "Range 4"
1259 "Range 5"
3538 "Range 4"
4896 "Range 4"
830 "Range 4"
5447 "Range 4"
159093 "Range 4"
5254 "Range 4"
5785 "Range 4"
60766 "Range 4"
5055 "Range 3"
6953 "Range 4"
7649 "Range 3"
8977 "Range 3"
385 "Range 4"
4293 "Range 3"
5151 "Range 3"
5585 "Range 3"
68932 "Range 4"
127146 "Range 3"
143859 "Range 3"
6460 "Range 5"
7048 "Range 4"
2662 "Range 4"
86833 "Range 4"
81535 "Range 5"
141544 "Range 4"
81 "Range 4"
71668 "Range 4"
5699 "Range 4"
89804 "Range 4"
130444 "Range 4"
58876 "Range 4"
142115 "Range 5"
5452 "Range 2"
6664 "Range 4"
2212 "Range 4"
3313 "Range 2"
130576 "Range 3"
2007 "Range 4"
3008 "Range 4"
45062 "Range 3"
5490 "Range 5"
79259 "Range 3"
96114 "Range 2"
109317 "Range 3"
117107 "Range 3"
27140 "Range 3"
114265 "Range 5"
108192 "Range 4"
63768 "Range 3"
1031 "Range 4"
1892 "Range 4"
2683 "Range 4"
210 "Range 3"
1201 "Range 5"
1441 "Range 4"
2052 "Range 3"
2463 "Range 4"
3685 "Range 4"
80166 "Range 3"
1175 "Range 4"
5152 "Range 4"
28 "Range 5"
436 "Range 3"
3841 "Range 3"
4958 "Range 4"
171701 "Range 4"
50804 "Range 4"
2313 "Range 5"
7325 "Range 4"
4326 "Range 4"
44193 "Range 4"
167772 "Range 2"
2522 "Range 4"
95313 "Range 5"
172583 "Range 5"
110882 "Range 4"
8827 "Range 4"
6319 "Range 3"
177939 "Range 5"
3445 "Range 4"
57274 "Range 5"
4443 "Range 3"
7460 "Range 4"
27328 "Range 5"
183 "Range 4"
34164 "Range 4"
155288 "Range 3"
155820 "Range 3"
32392 "Range 3"
31162 "Range 3"
97858 "Range 2"
148709 "Range 2"
159690 "Range 2"
1496 "Range 4"
2180 "Range 4"
68269 "Range 5"
106889 "Range 4"
96945 "Range 4"
142507 "Range 3"
1426 "Range 1"
5961 "Range 2"
32515 "Range 3"
108090 "Range 4"
72165 "Range 2"
6095 "Range 4"
89837 "Range 5"
596 "Range 4"
2018 "Range 4"
2583 "Range 4"
497 "Range 4"
762 "Range 3"
27741 "Range 4"
7147 "Range 4"
2044 "Range 3"
2355 "Range 4"
106920 "Range 4"
8622 "Range 4"
1243 "Range 4"
1274 "Range 4"
1621 "Range 4"
4155 "Range 4"
4482 "Range 4"
2905 "Range 5"
1296 "Range 4"
100390 "Range 3"
182731 "Range 5"
168846 "Range 5"
4083 "Range 4"
1051 "Range 4"
4826 "Range 5"
170697 "Range 5"
55995 "Range 3"
162600 "Range 3"
1415 "Range 3"
